"是否妥善、（按约全面）履行了……义务","表见代理","运输迟延","错发货物","承运人擅自放货","计重标准、计重单价","泄漏运输信息","是否获赔"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","3","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","2","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0"
